predict_TimeStamp,count_hs,heel_strike,side_strike,left_state,right_state,Press_L,Press_R,human_height,stair_height,distance,stride_size,avg_velocity,prediction,number_of_plane,hs_TS_Nsec,LM,
2025-09-23 15:37:42.055176,0,0,0,10,10,1926,1050,1720.000,-20.000,2500.000,0.000,0.000,0.0,1,09-23 15:38:40.054955,1,,
2025-09-23 15:37:42.064930,0,0,0,10,10,1926,1050,1720.000,-20.000,2500.000,0.000,0.000,0.0,1,09-23 15:38:40.064698,1,,
2025-09-23 15:37:42.074802,0,0,0,10,10,1926,1050,1720.000,-20.000,2500.000,0.000,0.000,0.0,1,09-23 15:38:40.074423,1,,
2025-09-23 15:37:42.084492,0,0,0,10,10,1926,1034,1720.000,-20.000,2500.000,0.000,0.000,0.0,1,09-23 15:38:40.084183,1,,
2025-09-23 15:37:42.094237,0,0,0,10,10,1926,1034,1720.000,-20.000,2500.000,0.000,0.000,0.0,1,09-23 15:38:40.093924,1,,
2025-09-23 15:37:42.103897,0,0,0,10,10,1926,1034,1720.000,-20.000,2500.000,0.000,0.000,0.0,1,09-23 15:38:40.103714,1,,
2025-09-23 15:37:42.113788,0,0,0,10,10,1926,1034,1720.000,-20.000,2500.000,0.000,0.000,0.0,1,09-23 15:38:40.113524,1,,
2025-09-23 15:37:42.123604,0,0,0,10,10,1957,1034,1720.000,-20.000,2500.000,0.000,0.000,0.0,1,09-23 15:38:40.123326,1,,
2025-09-23 15:37:42.133347,0,0,0,10,10,1957,1034,1720.000,-20.000,2500.000,0.000,0.000,0.0,1,09-23 15:38:40.133141,1,,
2025-09-23 15:37:42.143087,0,0,0,10,10,1957,1032,1720.000,-20.000,2500.000,0.000,0.000,0.0,1,09-23 15:38:40.142864,1,,
2025-09-23 15:37:42.152797,0,0,0,10,10,1957,1032,1720.000,-20.000,2500.000,0.000,0.000,0.0,1,09-23 15:38:40.152603,1,,
2025-09-23 15:37:42.162618,0,0,0,10,10,1957,1032,1720.000,-20.000,2500.000,0.000,0.000,0.0,1,09-23 15:38:40.162364,1,,
2025-09-23 15:37:42.172238,0,0,0,10,10,1947,1032,1720.000,-20.000,2500.000,0.000,0.000,0.0,1,09-23 15:38:40.172090,1,,
2025-09-23 15:37:42.181973,0,0,0,10,10,1955,1032,1720.000,-20.000,2500.000,0.000,0.000,0.0,1,09-23 15:38:40.181789,1,,
2025-09-23 15:37:42.191673,0,0,0,10,10,1955,1032,1720.000,-20.000,2500.000,0.000,0.000,0.0,1,09-23 15:38:40.191493,1,,
2025-09-23 15:37:42.201350,0,0,0,10,10,1955,1030,1720.000,-20.000,2500.000,0.000,0.000,0.0,1,09-23 15:38:40.201202,1,,
2025-09-23 15:37:42.211125,0,0,0,10,10,1955,1030,1720.000,-20.000,2500.000,0.000,0.000,0.0,1,09-23 15:38:40.210911,1,,
2025-09-23 15:37:42.220801,0,0,0,10,10,1955,1030,1720.000,-20.000,2500.000,0.000,0.000,0.0,1,09-23 15:38:40.220652,1,,
2025-09-23 15:37:42.230675,0,0,0,10,10,1955,1030,1720.000,-20.000,2500.000,0.000,0.000,0.0,1,09-23 15:38:40.230396,1,,
2025-09-23 15:37:42.240334,0,0,0,10,10,1963,1030,1720.000,-20.000,2500.000,0.000,0.000,0.0,1,09-23 15:38:40.240103,1,,
2025-09-23 15:37:42.249978,0,0,0,10,10,1963,1030,1720.000,-20.000,2500.000,0.000,0.000,0.0,1,09-23 15:38:40.249804,1,,
2025-09-23 15:37:42.259838,0,0,0,10,10,1963,1024,1720.000,-20.000,2500.000,0.000,0.000,0.0,1,09-23 15:38:40.259618,1,,
2025-09-23 15:37:42.269590,0,0,0,10,10,1963,1020,1720.000,-20.000,2500.000,0.000,0.000,0.0,1,09-23 15:38:40.269351,1,,
2025-09-23 15:37:42.279386,0,0,0,10,10,1963,1020,1720.000,-20.000,2500.000,0.000,0.000,0.0,1,09-23 15:38:40.279073,1,,
2025-09-23 15:37:42.289030,0,0,0,10,10,1963,1020,1720.000,-20.000,2500.000,0.000,0.000,0.0,1,09-23 15:38:40.288810,1,,
2025-09-23 15:37:42.298710,0,0,0,10,10,1950,1020,1720.000,-20.000,2500.000,0.000,0.000,0.0,1,09-23 15:38:40.298552,1,,
2025-09-23 15:37:42.308503,0,0,0,10,10,1950,1020,1720.000,-20.000,2500.000,0.000,0.000,0.0,1,09-23 15:38:40.308293,1,,
2025-09-23 15:37:42.318183,0,0,0,10,10,1950,1020,1720.000,-20.000,2500.000,0.000,0.000,0.0,1,09-23 15:38:40.318013,1,,
